"filename", "language", "Markdown", "Kotlin", "JSON", "Properties", "Batch", "XML", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\FolderBrowserActivity.kt", "Kotlin", 0, 361, 0, 0, 0, 0, 15, 54, 430
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GalleryFolderBrowserActivity.kt", "Kotlin", 0, 287, 0, 0, 0, 0, 9, 38, 334
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\GoogleDriveAuthActivity.kt", "Kotlin", 0, 215, 0, 0, 0, 0, 8, 32, 255
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\sources\OneDriveAuthActivity.kt", "Kotlin", 0, 55, 0, 0, 0, 0, 4, 11, 70
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\BaseAccountManager.kt", "Kotlin", 0, 46, 0, 0, 0, 0, 0, 10, 56
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxAccountManager.kt", "Kotlin", 0, 202, 0, 0, 0, 0, 10, 26, 238
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxOAuthConfig.kt", "Kotlin", 0, 18, 0, 0, 0, 0, 0, 3, 21
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleAccountManager.kt", "Kotlin", 0, 149, 0, 0, 0, 0, 1, 21, 171
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SecureLinks.kt", "Kotlin", 0, 35, 0, 0, 0, 0, 0, 4, 39
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SettingsManager.kt", "Kotlin", 0, 500, 0, 0, 0, 0, 40, 65, 605
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\VersionUtils.kt", "Kotlin", 0, 44, 0, 0, 0, 0, 0, 5, 49
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\CloudFolderViewModel.kt", "Kotlin", 0, 165, 0, 0, 0, 0, 7, 28, 200
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GalleryViewModel.kt", "Kotlin", 0, 138, 0, 0, 0, 0, 5, 23, 166
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\MainViewModel.kt", "Kotlin", 0, 133, 0, 0, 0, 0, 2, 18, 153
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\bg_status_indicator.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_back.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 1, 12
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_bug.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_discord.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_folder.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_github.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_google.xml", "XML", 0, 0, 0, 0, 0, 18, 0, 1, 19
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 172, 0, 1, 173
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_license.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_no_photos.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_open_in_new.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 1, 12
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_preview.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_privacy.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_reset.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_search.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_settings.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_dropbox.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_gallery.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_drive.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_photos.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_network.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_onedrive.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_about.xml", "XML", 0, 0, 0, 0, 0, 188, 6, 39, 233
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_debug_settings.xml", "XML", 0, 0, 0, 0, 0, 124, 6, 23, 153
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_decoration_settings.xml", "XML", 0, 0, 0, 0, 0, 49, 4, 15, 68
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_dropbox_auth.xml", "XML", 0, 0, 0, 0, 0, 40, 0, 6, 46
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_folder_browser.xml", "XML", 0, 0, 0, 0, 0, 145, 8, 27, 180
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_google_drive_auth.xml", "XML", 0, 0, 0, 0, 0, 51, 0, 8, 59
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 112, 5, 23, 140
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main_tv.xml", "XML", 0, 0, 0, 0, 0, 106, 6, 14, 126
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_photo_info_settings.xml", "XML", 0, 0, 0, 0, 0, 237, 5, 45, 287
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_schedule_settings.xml", "XML", 0, 0, 0, 0, 0, 138, 9, 31, 178
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_video_playback_settings.xml", "XML", 0, 0, 0, 0, 0, 95, 5, 20, 120
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_color_picker.xml", "XML", 0, 0, 0, 0, 0, 61, 2, 11, 74
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_cache_size.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 7, 38
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_timeout.xml", "XML", 0, 0, 0, 0, 0, 49, 0, 11, 60
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_clock_settings.xml", "XML", 0, 0, 0, 0, 0, 135, 10, 23, 168
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_date_settings.xml", "XML", 0, 0, 0, 0, 0, 129, 9, 22, 160
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_weather_settings.xml", "XML", 0, 0, 0, 0, 0, 160, 12, 28, 200
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\item_folder_checkbox.xml", "XML", 0, 0, 0, 0, 0, 49, 0, 10, 59
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_folder_browser.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 3, 13
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_main.xml", "XML", 0, 0, 0, 0, 0, 14, 0, 4, 18
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\arrays.xml", "XML", 0, 0, 0, 0, 0, 209, 12, 12, 233
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 1, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors_tv.xml", "XML", 0, 0, 0, 0, 0, 8, 1, 1, 10
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 64, 13, 14, 91
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 28, 8, 4, 40
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes_tv.xml", "XML", 0, 0, 0, 0, 0, 15, 6, 1, 22
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 0, 0, 7, 0, 1, 8
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\dream_settings.xml", "XML", 0, 0, 0, 0, 0, 2, 0, 1, 3
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\settings_main.xml", "XML", 0, 0, 0, 0, 0, 284, 12, 64, 360
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\DataModelUnitTest.kt", "Kotlin", 0, 124, 0, 0, 0, 0, 0, 22, 146
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\ViewModelUnitTest.kt", "Kotlin", 0, 72, 0, 0, 0, 0, 0, 13, 85
"e:\coding_workspaces\Kotlin\AndroidScreensaver\build.gradle.kts", "Kotlin", 0, 5, 0, 0, 0, 0, 1, 0, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle.properties", "Properties", 0, 0, 0, 6, 0, 0, 21, 9, 36
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 1, 1, 7
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradlew.bat", "Batch", 0, 0, 0, 0, 41, 0, 32, 22, 95
"e:\coding_workspaces\Kotlin\AndroidScreensaver\msal_auth_config.json", "JSON", 0, 0, 16, 0, 0, 0, 0, 0, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\settings.gradle.kts", "Kotlin", 0, 22, 0, 0, 0, 0, 1, 3, 26
"Total", "-", 904, 11455, 16, 11, 41, 3114, 804, 2448, 18793
