Date : 2026-07-01 00:06:27
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 125 files,  15541 codes, 804 comments, 2448 blanks, all 18793 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleAccountManager.kt                   | Kotlin     |        149 |          1 |         21 |        171 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SecureLinks.kt                            | Kotlin     |         35 |          0 |          4 |         39 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SettingsManager.kt                        | Kotlin     |        500 |         40 |         65 |        605 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\VersionUtils.kt                           | Kotlin     |         44 |          0 |          5 |         49 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\CloudFolderViewModel.kt               | Kotlin     |        165 |          7 |         28 |        200 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GalleryViewModel.kt                   | Kotlin     |        138 |          5 |         23 |        166 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\MainViewModel.kt                      | Kotlin     |        133 |          2 |         18 |        153 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\bg_status_indicator.xml                                                      | XML        |          5 |          0 |          1 |          6 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_back.xml                                                                  | XML        |         11 |          0 |          1 |         12 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_bug.xml                                                                   | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_discord.xml                                                               | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_folder.xml                                                                | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_github.xml                                                                | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_google.xml                                                                | XML        |         18 |          0 |          1 |         19 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_launcher_foreground.xml                                                   | XML        |        172 |          0 |          1 |        173 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_license.xml                                                               | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_no_photos.xml                                                             | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_open_in_new.xml                                                           | XML        |         11 |          0 |          1 |         12 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_preview.xml                                                               | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_privacy.xml                                                               | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_reset.xml                                                                 | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_search.xml                                                                | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_settings.xml                                                              | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_dropbox.xml                                                        | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_gallery.xml                                                        | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_drive.xml                                                   | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_photos.xml                                                  | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_network.xml                                                        | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_onedrive.xml                                                       | XML        |         10 |          0 |          1 |         11 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_about.xml                                                             | XML        |        188 |          6 |         39 |        233 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_debug_settings.xml                                                    | XML        |        124 |          6 |         23 |        153 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_decoration_settings.xml                                               | XML        |         49 |          4 |         15 |         68 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_dropbox_auth.xml                                                      | XML        |         40 |          0 |          6 |         46 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_folder_browser.xml                                                    | XML        |        145 |          8 |         27 |        180 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_google_drive_auth.xml                                                 | XML        |         51 |          0 |          8 |         59 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main.xml                                                              | XML        |        112 |          5 |         23 |        140 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main_tv.xml                                                           | XML        |        106 |          6 |         14 |        126 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_photo_info_settings.xml                                               | XML        |        237 |          5 |         45 |        287 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_schedule_settings.xml                                                 | XML        |        138 |          9 |         31 |        178 |
