"filename", "language", "Java Properties", "Kotlinscript", "Python", "Batch", "Markdown", "XML", "Kotlin", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\DropboxOAuthConfig.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 4, 16, 3, 23
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleAccountManager.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 134, 52, 26, 212
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\GoogleOAuthConfig.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 12, 34, 8, 54
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SecureLinks.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 24, 11, 4, 39
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\SettingsManager.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 348, 83, 63, 494
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\utils\VersionUtils.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 26, 18, 5, 49
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GalleryViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 92, 35, 22, 149
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\GoogleDriveViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 106, 39, 25, 170
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\viewmodel\MainViewModel.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 114, 21, 18, 153
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\bg_status_indicator.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_back.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
