"filename", "language", "Markdown", "Python", "Kotlinscript", "Batch", "Java Properties", "Kotlin", "XML", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_onedrive.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_about.xml", "XML", 0, 0, 0, 0, 0, 0, 188, 6, 39, 233
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_debug_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 124, 6, 23, 153
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_decoration_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 49, 4, 15, 68
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_folder_browser.xml", "XML", 0, 0, 0, 0, 0, 0, 145, 8, 27, 180
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_google_drive_auth.xml", "XML", 0, 0, 0, 0, 0, 0, 51, 0, 8, 59
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 112, 5, 23, 140
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main_tv.xml", "XML", 0, 0, 0, 0, 0, 0, 106, 6, 14, 126
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_photo_info_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 237, 5, 45, 287
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_schedule_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 138, 9, 31, 178
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_video_playback_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 95, 5, 20, 120
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_color_picker.xml", "XML", 0, 0, 0, 0, 0, 0, 61, 2, 11, 74
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_cache_size.xml", "XML", 0, 0, 0, 0, 0, 0, 31, 0, 7, 38
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\dialog_custom_timeout.xml", "XML", 0, 0, 0, 0, 0, 0, 49, 0, 11, 60
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_clock_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 135, 10, 23, 168
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_date_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 129, 9, 22, 160
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\include_decoration_weather_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 160, 12, 28, 200
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\item_folder_checkbox.xml", "XML", 0, 0, 0, 0, 0, 0, 49, 0, 10, 59
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_folder_browser.xml", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 3, 13
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\menu\menu_main.xml", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 4, 18
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\arrays.xml", "XML", 0, 0, 0, 0, 0, 0, 209, 12, 12, 233
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 15, 0, 1, 16
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\colors_tv.xml", "XML", 0, 0, 0, 0, 0, 0, 8, 1, 1, 10
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 64, 13, 14, 91
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 0, 28, 8, 4, 40
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\values\themes_tv.xml", "XML", 0, 0, 0, 0, 0, 0, 15, 6, 1, 22
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\dream_settings.xml", "XML", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\xml\settings_main.xml", "XML", 0, 0, 0, 0, 0, 0, 270, 12, 62, 344
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\DataModelUnitTest.kt", "Kotlin", 0, 0, 0, 0, 0, 121, 0, 3, 22, 146
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\test\java\com\vincentwetzel\androidscreensaver\ViewModelUnitTest.kt", "Kotlin", 0, 0, 0, 0, 0, 68, 0, 4, 13, 85
"e:\coding_workspaces\Kotlin\AndroidScreensaver\build.gradle.kts", "Kotlinscript", 0, 0, 5, 0, 0, 0, 0, 1, 0, 6
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle.properties", "Java Properties", 0, 0, 0, 0, 6, 0, 0, 21, 9, 36
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradle\wrapper\gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"e:\coding_workspaces\Kotlin\AndroidScreensaver\gradlew.bat", "Batch", 0, 0, 0, 41, 0, 0, 0, 32, 22, 95
"e:\coding_workspaces\Kotlin\AndroidScreensaver\settings.gradle.kts", "Kotlinscript", 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"e:\coding_workspaces\Kotlin\AndroidScreensaver\test.py", "Python", 0, 19, 0, 0, 0, 0, 0, 2, 4, 25
"Total", "-", 841, 19, 120, 41, 11, 8685, 3040, 1736, 2149, 16642
