"filename", "language", "Kotlinscript", "Markdown", "Java Properties", "XML", "Kotlin", "Batch", "comment", "blank", "total"
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_dropbox.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_gallery.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_drive.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_google_photos.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_network.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\drawable\ic_source_onedrive.xml", "XML", 0, 0, 0, 10, 0, 0, 0, 1, 11
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_about.xml", "XML", 0, 0, 0, 188, 0, 0, 6, 39, 233
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_debug_settings.xml", "XML", 0, 0, 0, 124, 0, 0, 6, 23, 153
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_decoration_settings.xml", "XML", 0, 0, 0, 49, 0, 0, 4, 15, 68
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_dropbox_auth.xml", "XML", 0, 0, 0, 40, 0, 0, 0, 6, 46
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_folder_browser.xml", "XML", 0, 0, 0, 145, 0, 0, 8, 27, 180
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_google_drive_auth.xml", "XML", 0, 0, 0, 51, 0, 0, 0, 8, 59
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 112, 0, 0, 5, 23, 140
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_main_tv.xml", "XML", 0, 0, 0, 106, 0, 0, 6, 14, 126
"e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\res\layout\activity_photo_info_settings.xml", "XML", 0, 0, 0, 237, 0, 0, 5, 45, 287
