Date : 2026-06-01 01:36:23
Directory : e:\coding_workspaces\Kotlin\AndroidScreensaver
Total : 120 files,  13402 codes, 1770 comments, 2299 blanks, all 17471 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxPhotoRepository.kt       | Kotlin          |        341 |         11 |         51 |        403 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\DropboxRepository.kt            | Kotlin          |         47 |         35 |         14 |         96 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\FolderBrowserActivity.kt        | Kotlin          |          0 |          0 |          1 |          1 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryFolderBrowserActivity.kt | Kotlin          |          0 |          0 |          1 |          1 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GalleryPhotoRepository.kt       | Kotlin          |        448 |         23 |         66 |        537 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDrivePhotoRepository.kt   | Kotlin          |        337 |         37 |         49 |        423 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\GoogleDriveRepository.kt        | Kotlin          |         55 |         43 |         15 |        113 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\PhotoRepository.kt              | Kotlin          |         17 |         38 |         14 |         69 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\data\repository\WeatherRepository.kt            | Kotlin          |         92 |         20 |         13 |        125 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\di\RepositoryModule.kt                          | Kotlin          |         26 |          0 |          3 |         29 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\PhotoScreensaverService.kt                | Kotlin          |        206 |         29 |         41 |        276 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SlideshowManager.kt                       | Kotlin          |        230 |         56 |         39 |        325 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\dream\SourceType.kt                             | Kotlin          |          2 |          0 |          2 |          4 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\AlarmReceiver.kt                       | Kotlin          |         22 |          1 |          4 |         27 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\receiver\BootReceiver.kt                        | Kotlin          |         13 |          0 |          3 |         16 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\service\ScheduleService.kt                      | Kotlin          |         99 |          0 |         17 |        116 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\ScreensaverPreviewActivity.kt                | Kotlin          |        134 |         25 |         30 |        189 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\about\AboutActivity.kt                       | Kotlin          |         47 |         11 |         14 |         72 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\MainActivity.kt                         | Kotlin          |        667 |         33 |         92 |        792 |
| e:\coding_workspaces\Kotlin\AndroidScreensaver\app\src\main\java\com\vincentwetzel\androidscreensaver\ui\main\SourceType.kt                           | Kotlin          |         16 |          4 |          4 |         24 |
